text_es,translation
"Serg· [(Afligido.)] ¿De verdad crees que voy a creer que ella… que ella, cuyos pensamientos más oscuros superan con creces tus mejores intenciones, se atrevería a reírse de mí con otro hombre?","Sergio [(Afligido.)] Benetan uste duzu bera... bera, pentsamendu ilunenak zure asmo onenak baino askoz okerragoak dituena, beste gizon batekin barre egiteko adorea izango lukeela?"
"El anciano se acercó al pie del aparador y, colocándose las gafas, comenzó a leer en voz baja:","Testu hori euskarara itzulita honela geratuko litzateke:

Agurea erakusmahaiaren ondora hurbildu zen eta, betaurrekoak jantzita, ahopeka hasi zen irakurtzen:"
"Cada siglo tiene sus individuos. Pero no es cierto lo contrario: los individuos no tienen su siglo propio; tienen el siglo de sus sucesores. Son, esencialmente, anacrónicos. Esos nombres, gloriosamente únicos, orgullo de la Historia, que han caído en la categoría de lugares comunes en los elogios de las ciencias y las artes, no son más que sembradores de cosechas que han disfrutado sus descendientes. Ellos, únicamente, han tenido el privilegio de experimentar la intensa y pura sensación de autoconfianza, mil veces más fuerte que las efímeras satisfacciones de la gloria. Muchos de estos individuos no son considerados grandes por haber concebido ideas grandiosas y complejas, sino por haber articulado ideas sencillas y fundamentales.","Mende bakoitzak bere kideak ditu. Baina kontrakoa egia ez dela esan daiteke: kideek ez dute beren mendea berea; beren ondorengoen mendea dute. Ezinbestean, anakronikoak dira. Historiaren harrotasuna diren izen horiek, zientzien eta artearen laudorioetan ohikoak bihurtu direnak, haien ondorengoek gozatu dituzten uzten ereileak besterik ez dira. Haiek bakarrik izan dute autoestimuaren intentsitate handiko eta puruaren esperientzia, gloriaren efimero asebetetzeak baino mila aldiz indartsuagoa. Kide horietako asko ez dira handitzat hartzen ideia handi eta konplexuak izateagatik, baizik eta ideia sinple eta funtsezkoak formulatzeagatik."
"Quisiera saber qué pasó con Robles, pero nadie me lo puede decir. Siempre pienso, y confieso que tampoco querría saberlo, que hace tiempo que habrán enterrado a aquellas mujeres de aspecto angelical con las que él solía relacionarse.","Roblesen inguruan gertatu zenaz jakin nahiko nuke, baina inork ezin dit erantzun. Beti pentsatzen dut, eta aitortzen dut ez nukeela jakin nahi, aspaldi lurperatuko zituztela itxura aingerutiarra zuten emakume haiekin harremana izaten zuen hura."
"No es conveniente tener discípulos, dijo De Greef en un discurso sobre la enseñanza integral. Y ahí reside precisamente la preocupación más profunda del mundo en estos momentos: asegurar la permanencia de la emancipación intelectual, impidiendo que el dogma o los principios definitivos, revestidos con la vieja hostilidad de la cosa juzgada, puedan volver a intervenir jamás en la educación de las futuras generaciones, única garantía de que el devenir perenne e incesante de la idea no se vea, en ninguna ocasión, interrumpido por la idolatría de una consagración o por la sanción temible de un anatema. Permítanme, pues, que aproveche esta ocasión para expresar lo que pienso sobre el importante problema educativo, aunque sea de pasada, desde un punto de vista político. Cuando se habla de la libertad de enseñanza y, con verdadera estupefacción, se ve que aquellos que la difamaron y persiguieron con furia se aferran ahora a la idea de la libertad como a un salvavidas, se comprende que no se habla de un verdadero ejercicio de la libertad. La libertad de enseñanza no debe ser el derecho a enseñar sin trabas a la infancia y a la juventud, el derecho a modelar y formar la espiritualidad de los alumnos, es decir, del mundo que nos sucederá. No, la libertad de enseñanza, o, mejor dicho, la libertad de educación, debe ser la mayor suma posible de garantías de que el espíritu de los discípulos se abra a la luz sin ningún obstáculo y pueda contemplar, ante sí, el cúmulo de nuestras fórmulas, arduamente alcanzadas, para juzgarlas sin la presión o la coacción de ninguna idea ni de ninguna personalidad. No admitamos, como si fuera un pacto con el error, la libertad de crear espíritus antiguos y mentalidades esclavas. Establezcamos, sí, la obligación de formar espíritus libres y autónomos, que nos ayuden y nos corrijan en nuestra inmortal obra de liberación.","Ez da komeni ikasleak izatea, adierazi zuen Greefek hezkuntza integralari buruzko hitzaldi batean. Eta horretan datza, hain zuzen ere, une honetako arazo sakonena: askapen intelektuala bermatzea, dogma edo printzipio definitiboak, gauza epaituaren etsaitasun zaharrarekin jantzita, berriro ez daitezen inoiz hezkuntzan esku hartu etorkizuneko belaunaldien hezkuntzan, ideiaren etengabeko eta betiereko bilakaera eten ez dadin, inoiz ez dadin idolatria batek edo anatema baten beldurrezko bedeinkapenak eten. Baimendu iezadazue, beraz, gai garrantzitsu honi buruz dudan iritzia adieraztea, nahiz eta azkar, ikuspuntu politiko batetik. Askatasun pedagogikoaz hitz egiten denean eta, egiazko estupefaziorik gabe, hura difamatu eta amorruarekin jazarri zutenak orain askatasunaren ideiari heldu diotela ikusten denean salbatzeko txalupa balitz bezala, ulertzen da ez dela benetako askatasunaz hitz egiten. Hezkuntza-askatasuna ez da haurtzaroari eta gaztaroari trabarik gabe irakasteko eskubidea, ikasleen espiritualtasuna modelatzeko eta eratzeko eskubidea, hau da, gure ondorengo mundua izango denaren eskubidea. Ez, hezkuntza-askatasuna, edo hobeto esanda, hezkuntza-askatasuna, askatasunaren gehienezko bermea izan behar da, ikasleen espiritua oztoporik gabe argiari irekitzeko eta gure formulen multzoa, gogor lortuak, aurrean izanik, haiek epaitzeko presiorik edo koakziorik gabe, ide"
¿Acaso no recuerdas que ya habíamos hablado de un engaño con el que intentarían arrebatarte el dinero?,"Ez al zara gogoratzen engainu batez hitz egin genuela, dirua lapurtzen saiatuko zirela?"
"—Sí, sí, sí,— añadí en voz baja,— así lo verá el Sr. Babau... (¡Ay!, disculpe, me estoy volviendo tartamudo).","—Bai, bai, bai,—erantsi nuen ahapeka,—horixe ikusiko du jaun txit gorenak... (A!, barkatu, tartekako hizketa egiten ari naiz)."
"Víctor. [(Bajo e insinuante.)] Ernestina, a mí también me han brotado unas pequeñas alas. Las siento vibrar... Esta casa se me ha hecho insoportable.","Víctor. [(Baxu eta iradokitzaile.)] Ernestina, niri ere hego txiki batzuk atera zaizkit. Dardarka sentitzen ditut... Etxe hau jasanezina egin zait."
"En casa de mis parientes Yxart, donde me encontraba pasando una temporada, sucedió que, una tarde, a mi tío se le ocurrió llevarme a ver la selección de los restos mortales o esqueletos que, procedentes de la profanación vandálica de los reales panteones de Poblet, habían sido extraídos de un montón de viejos ataúdes y ahora se exhibían sobre mesas improvisadas dentro de la grandiosa capilla del Corpus Christi de aquella catedral.","Nire senide Yxarten etxean nengoen, bisitan, eta gertatu zen arratsalde batean, nire osabari bururatu zitzaion hilobi-hondarrak edo eskeletoak ikustera eramatea. Hilobi-hondar horiek Pobleteko errege-panteoien profanazio bandalikotik ateratakoak ziren, eta orain mahai inprobisatuetan erakusten ziren katedral hartako Corpus Christi kapera ikusgarrian."
"Fedr· [(Volviendo con la vela, el cartel y un manojo de breas.)] Aquí tienes, muchacho. También nos habíamos olvidado del pelo.","Fedr· [(Volviendo con la vela, el cartel y un manojo de breas.)] Hemen duzu, mutil. Gainera, ilea ere ahaztu genuen."
"En Temme no había podido formarse ninguna impresión sobre esas cosas. Se podría decir que los dos hermanos no se habían conocido. Había entre ellos quince años de diferencia, y el pequeño apenas tenía tres cuando el mayor se marchó a Cuba, invitado por un pariente que había hecho fortuna allí y que manifestó la intención de protegerlo, formándolo en sus negocios.","Temmek ezin izan zuen inpresiorik hartu gauza haietaz. Esan liteke bi anaiak ez zirela elkar ezagutu. Hamabost urteko aldea zegoen haien artean, eta txikienak hiru urte besterik ez zituen handiena Kubara joan zenean, bertan aberastu zen senide batek gonbidatuta, eta han babestuko zuela eta negozioetan heziko zuela esan zuenean."
"¿Qué es un alcalde, o un juez, o un párroco, comparado con una colina? ¿Quién se da cuenta de que hay un maestro frente a un atardecer? ¿Quién sabría si hay un médico o un boticario frente al florecimiento de los árboles? Y si no se ven aquellos que mandan, ¿cómo podrían verse aquellos que creen? Se nos dice que al hombre, es decir, al Rey de la Naturaleza, se le distingue por el cerebro, pero como el cerebro no está a la vista, nadie puede verlo en el mundo… Y que no se lamenten en Deià, pues también él prefiere no ser visto, vivir en un rincón de la tierra, ser solo la esencia de la tierra, sin tener que preocuparse por las glorias de su pueblo, ni por avivar ideas, ni por revolucionar las cosas, ni por nombrar hijos ilustres, ni por protestar, ni por adherirse… Todo esto tiene su propia poesía: la poesía de lo invisible, que existe tanto en el inmenso cielo como en las profundidades de la tierra.","Honela dio poetak:

Nork bereiziko luke alkate bat, epaile bat edo apaiz bat muino batekin? Nork jakingo luke irakasle bat ilunabar baten aurrean dagoela? Nork jakingo luke mediku bat edo botikari bat zuhaitzen loratzearen aurrean dagoela? Eta agintzen ez dutenak ikusten ez badira, nola ikusiko lirateke sortzaileak? Esaten da gizakia, hau da, Naturaren Erregea, garunagatik bereizten dela, baina garuna ez dago ikusgai, eta inork ezin du munduan ikusi... Eta ez daitezela kexatu Deià-n, berak ere ikusi nahi ez izatea nahiago baitu, lurreko txoko batean bizi, lurraren esentzia izan, herriaren loriarik ez izan behar, ideiak piztu ez, gauzak irauli ez, seme-alaba ospetsuak izendatu ez, protestatu ez, atxiki ez... Hori guztia poesia da: ikusezinaren poesia, zeru zabalean zein lurraren sakoneran existitzen dena."
"Nosotros, inexpertos, ajenos a las costumbres y los trámites propios de empresas similares, hemos sido los últimos en acercarnos al laberinto burocrático. El vehículo ya estaba repleto de pasajeros. Viajaba en él un grupo de músicos. Cuando un grupo de músicos recorre las comarcas de la provincia de Lérida, lo paga quien menos lo merece; perturba el funcionamiento normal de los servicios públicos. Cada instrumento representa a un individuo que se queda sin poder viajar.","Gu, hasiberriak, enpresa antzekoen ohitura eta tramiteetaz arrotz, izan gara labirinto burokratikora hurbiltzen azkenak. Autoa jadanik bidaiariz beteta zegoen. Taldeko musikariak zihoazen bertan. Lleidako probintziako eskualdeak zeharkatzen dituen musikari talde bat, ordaintzen duenak merezi ez duenak ordaintzen du; zerbitzu publikoen funtzionamendu normala nahasten du. Instrumentu bakoitzak bidaiatzeko aukera gabe geratzen den pertsona bat ordezkatzen du."
Rosa. Vaya que tenemos que comprar muchas cosas.,Rosa. Ikusten dut asko erosi behar dugula.
"El verdugo [(Le quita las cadenas de los pies y las arroja al suelo. Luego le ata las manos con una cuerda)]. Perdonadme, hermano.","Itzulpena:

(Bihotza, loturak kentzen dizkio oinetatik eta lurrera botatzen ditu. Gero, eskuak soka batekin lotzen dizkio). Barka iezadazu, anaia."
"—Oh, sí, aquel día el cielo me lo reveló, mi abuelo; vivía, lo confieso, alejado del cielo; el cielo... es mi patria, y ya estoy allí, en un momento propicio. ¡Oh, vida terrenal, cuánta alegría me has dado!","—A, bai, egun hartan zerua agerian utzi zidan, aitona; zeruan bizi nintzen, aitortzen dut, urrun; zerua... nire aberria da, eta dagoeneko han nago, une egokian. A, bizitza lurtarra, zenbat poztasun eman didazu!"
"Ernestina. [(Débilmente.)] ¡Adiós, adiós, Merceneta, adiós! [(Bajo, muy concentrada.)] ¡Es mi único consuelo! [(Cae como anonadada sobre la máquina. Merceneta vuelve a aparecer en la puerta del corredor. Contempla un momento a Ernestina y después se marcha de puntillas con aire desconfiado. Ernestina súbitamente se endereza y lanza un suspiro. De inmediato sus ojos adquieren un extraño brillo; registran la sombra con desasosiego. Se levanta de la silla y se dirige al balcón. Enganchando el cerrojo, intenta abrirlo. El ruido del cerrojo al girar la sorprende y se queda quieta como petrificada, mirando con desconfianza a su entorno. Se vuelve enseguida y abre de un tirón, firme y decidida. Merceneta sale del pasillo y, de un salto, se planta en medio del comedor.)]","Ernestina. [(Ahulki.) Agur, agur, Merceneta, agur! [(Baxu, oso kontzentratuta.) Nire kontsolamendu bakarra da! [(Lurrera erortzen da, aho zabalik. Merceneta korridoreko atetik agertzen da berriz. Ernestinari begiratzen dio une batez, eta gero, susmo txarrez, isilka alde egiten du. Ernestina bat-batean zutitzen da eta arnasestuka ateratzen du arnasa. Bere begiek berehala distira arraro bat hartzen dute; ingurura begiratzen dute, urduri. Aulkitik altxatzen da eta balkoira abiatzen da. Kisketa askatzen du eta atea irekitzen saiatzen da. Kisketa biratzean egiten duen soinuak ustekabean harrapatzen du eta izoztuta geratzen da, ingurura mesfidantzaz begiratzen duela. Berehala itzultzen da eta indartsu eta erabakitasunez irekitzen du atea. Merceneta pasilloan agertzen da eta, bat-batean, mahaiaren erdian jartzen da.)"
"Acordado el plan de la aventura, pasaron a discutir a dónde irían, y, tras muchas deliberaciones, decidieron ir al Recreo, ya que Tarregada tenía mucha confianza en ese lugar. Era un placer escuchar la descripción que de él hacía.","Testua euskarara itzulita:

Abenturaren plana adostu ondoren, nora joan erabakitzen hasi ziren, eta, hausnarketa askoren ostean, Recreora joatea erabaki zuten, Tarregadak leku horretan konfiantza handia baitzuen. Plazer bat zen haren deskribapena entzutea."
"Y, después de hablar con él en el monte Sinaí, Dios le entregó a Moisés las dos tablas de la Ley: tablas de piedra, escritas por la mano de Dios.","Testuaren itzulpena:

Y, Sinai mendian berarekin hitz egin ondoren, Jainkoak Moisesi Legearen bi harlauza eman zizkion: harri gainean idatzitako harlauzak, Jainkoaren eskuz idatziak."
"Una vez que la tormenta amainó, Miseta quiso salir a buscar el canasto y ver si encontraba a su pobre perrito. Con cuatro pasos volvió al lugar donde se había detenido; y ¡cuál fue su sorpresa al ver, acurrucado junto al mismo canasto, a su fiel perro, que, tiritando como una hoja, había soportado toda la lluvia para cuidar de su cachorro!","Ekaitza baretu zenean, Misetak kanabera bilatu nahi izan zuen eta bere txakur txikiari non zegoen ikusi. Lau urrats eman zituen leku berera itzuli zen; eta zein izan zen bere harridura, kanabera ondoan makurtuta, bere txakur leiala ikustean, hosto bat bezala dardarka, euria zainduz bere txakurkumeari!"
"Impulsada por Joaneta, y obligándose a ello en contra de su propia naturaleza, María Gloria había pedido a la peluquería que cada mañana le dejaran leer los anuncios de *La Vanguardia*. Sin embargo, al llegar a los lugares indicados, ya fuera por la precariedad de sus vestimentas, por las condiciones inaceptables que se le imponían o, lo más frecuente, por la exigencia de que abonara un anticipo que no podía pagar, su esperanza se desvanecía una vez más, sumándose así a la lista de sus sueños incumplidos.","Joanetaren bultzadaz bultzatuta, eta bere izaeraren aurka, Maria Gloriak ile-apaindegia behartu zuen egunero *La Vanguardia*-ren iragarkiak irakurtzen uztera. Hala ere, adierazitako lekuetara iristean, bere jantzien urritasunagatik, ezarritako baldintza onartezinengatik edo, gehienetan, aurrerapen bat ordaintzeko eskakizuna zela eta, bere itxaropena berriz ere zapuzten zen, eta horrela, amets zapuztuen zerrendara batzen zen."
"Horacio Avant: sentémonos, y escuchemos lo que ha visto el buen Bernardo.","Horacio Avant: eseri gaitezen, eta entzun dezagun Bernardo onak ikusitakoa."
"Se hallaba en una plaza de pueblo rural: toda la superficie cubierta de tierra húmeda por el rocío, delimitada por una cerca de ramas; una vela de tela de saco servía de techo, y unas pocas lámparas de aceite daban una escasa iluminación. Reinaba una oscuridad que apenas permitía distinguir las figuras de los bailarines. Las lámparas parpadeaban y temblaban en el aire al ritmo de las palpitaciones de la plaza. Más que para iluminar, servían para deslumbrar. ¡Y qué tumulto, qué empujones, qué aliento generalizado a cada vuelta y vuelta!","Herriko plaza batean zegoen: lur hezez estalita zegoen, adarrez osatutako hesi batek mugatzen zuen, eta oihalezko estalki batek estaltzen zuen. Olio-lanparek argiztapen eskasa ematen zuten. Iluntasuna nagusi zen, dantzarien irudiak ia ezin ziren bereizi. Lanparak dardarka eta piztuta zeuden, plazaren taupaden erritmoan. Argitzeko baino, itsutzeko balio zuten. Eta zer iskanbila, zer bultzadak, zer arnasaldi orokortua bira eta bira bakoitzean!"
"Agua y… truenos. Un día, el sol, asomándose entre las nubes de un cielo nublado, brillaba con un fulgor apagado, melancólico, como anunciando un cambio de tiempo, tío y sobrino se dirigían caminando por la marisma. Esta, como todas, estaba rodeada de amplias acequias, de cierta profundidad y con fondos de barro. Con cuidado, pasaron dos veces la guadaña por la hierba alta, con aquella suavidad que todo cultivador de marismas pone para no romper los tiernos tallos de los juncos; también limpiaron y revistieron los montones de abono y retiraron un círculo de juncos que cubría el abono; y, al oír el eco de las campanillas de los ermitorios que la brisa les llevaba hasta allí, pensaron en regresar a la cabaña para encender el fuego y preparar el almuerzo.","Ur eta trumoi. Egun batean, eguzkia, hodeien artetik agertu zen, zeru lainotsu baten gainean, dizdiz eginez, itzali samar, malenkoniatsu, aldaketa meteorologiko bat iragartzen zuen bezala. Osaba eta iloba paseatzen ari ziren zingiran zehar. Hura, beste guztiak bezala, ubide zabal batzuez inguratuta zegoen, sakonera jakin batekoak eta lokatzazko hondoarekin. Kontu handiz, biak guraizea pasatu zuten belar altutik bi aldiz, marismetako nekazari guztiek jartzen duten leuntasun berarekin, ihiaren zurtoin delikatuak ez hausteko; gainera, ongarri pilak garbitu eta estali zituzten eta ongarria estaltzen zuen ihi zirkulu bat ere kendu zuten; eta, ermitetako kanpaiek eramaten zieten oihartzuna entzutean, haizeak hara eramanda, kabana aldera itzultzea pentsatu zuten, sua piztu eta bazkaria prestatzeko."
"Enriqueta, ¿podrías dejar de hablar de una vez por todas?","Enriqueta, utziko al zenioke behingoz hitz egiteari?"
"“Tantos y tantos fueron sus ruegos, que al final el novio cedió.”","""Hainbeste eta hainbeste eskari egin zizkion, azkenean mutil-lagunak amore eman zion."""
"¡Gladys Nataniel! ¡Ah! ¡Nataniel! [(Ya había amanecido del todo hacía un rato. Ahora el sol ya ha salido, grande, rojo, como sangre.)]","Gladys Nataniel! Ah! Nataniel! [(Dagoeneko denbora bat igaro da eguna argitu duenetik. Orain, eguzkia atera da, handia, gorria, odolaren kolorekoa.)]

Oharra: Itzulpen hau literala da, eta jatorrizko testuaren esanahia eta tonua mantentzen saiatu naiz. Hala ere, kontuan izan behar da jatorrizko testua poesia dela eta, beraz, itzulpena ere poesiatik hurbil egon behar dela."
"Tomás de Bajalta iba al salón de la señora Remei cuando sentía esa necesidad imperiosa, sin que ello alterara sus sentimientos ni lo obligara a poner en riesgo aquel delicado entramado de miradas y simpatías que suelen usarse en las relaciones sociales. ¿Qué puedo decirles? Entraba allí como quien se dirige a una taberna para calmar la sed o como quien compra un paraguas cuando empieza a llover. Iba allí de puntillas, después de dar una vuelta por el barrio de la Bòria y de asegurarse de que nadie lo seguía; si al llegar a la puerta veía salir a algún cliente, fingía no verlo y seguía su camino. Y cuando, al fin, se decidía a entrar, lo hacía con el pañuelo en la nariz o envuelto en las pliegues de la capa, que solo solía ponerse para esas excursiones nocturnas.","Tomás de Bajalta Remeiren saloira joaten zen, premiazko beharra sentitzen zuenean, horrek bere sentimenduak aldatu edo harreman sozialetan ohikoak diren begirada eta sinpatia sare delikatu hori arriskuan jarri gabe. Zer esan diezaieket? Taberna batera joaten zen bezala joaten zen hara, egarria asetzeko edo euria hasten zuenean aterkia erostera joaten den bezala. Hara joaten zen isil-isilik, Bòria auzoan buelta bat eman ondoren eta inork jarraitzen ez zuela ziurtatu ondoren; atea iristean bezeroren bat irteten ikusten bazuen, ez ikusiarena egiten zuen eta bere bidean jarraitzen zuen. Eta, azkenean, sartzea erabakitzen zuenean, zapia sudurrean edo kaparen tolesturetan bilduta egiten zuen, normalean bidaia horietarako soilik janzten zuen kaparekin."
"“Seis días trabajará el hombre, y el séptimo será sábado, día de descanso consagrado a Yahvé; quienquiera que trabaje en el día del sábado, será castigado con la muerte.”","""Sei egunez lan egingo du gizonak, eta zazpigarrena larunbata izango da, Yahvéri sagaratutako atseden eguna; larunbatean lan egiten duenak heriotza-zigorra jasoko du."""
Horacio parece una cría que aún corre con el casquete.,"Horacio txakurkume bat dirudi, oraindik pelutxearekin korrika doana."
